BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,DepartmentID
11,"974026903","adventure-works\ovidiu0","Z„",3,"Senior Tool Designer","1988-01-17","S","M","2020-12-05",0,7,23,-1,"{F68C7C19-FAC1-438C-9BB7AC33FCC341C3}","06/30/24 00:00:00",2
12,"480168528","adventure-works\thierry0","Z„X",4,"Tool Designer","1969-07-29","M","M","2017-12-11",0,9,24,-1,"{1D955171-E773-4FAD-838240FD898D5D4D}","06/30/24 00:00:00",2
13,"486228782","adventure-works\janice0","Z„h",4,"Tool Designer","1999-05-28","M","F","2020-12-23",0,8,24,-1,"{954B91B6-5AA7-48C2-86856E11C6E5C49A}","06/30/24 00:00:00",2
14,"42487730","adventure-works\michael8","ZÂ",3,"Senior Design Engineer","1989-06-16","S","M","2020-12-30",-1,3,21,-1,"{46286CA4-46DD-4DDB-912885B67E98D1A9}","06/30/24 00:00:00",1
15,"56920285","adventure-works\sharon0","ZÁ",3,"Design Engineer","1971-05-02","M","F","2021-01-18",-1,4,22,-1,"{54F2FDC0-87C4-4065-A7A89AC8EA624235}","06/30/24 00:00:00",1
16,"24756624","adventure-works\david0","h",1,"Marketing Manager","1985-03-19","S","M","2017-12-20",-1,40,40,-1,"{E87029AA-2CBA-4C03-B948D83AF0313E28}","06/30/24 00:00:00",4
17,"253022876","adventure-works\kevin0","j¿",2,"Marketing Assistant","1997-05-03","S","M","2017-01-26",0,42,41,-1,"{1B480240-95C0-410F-A717EB29943C8886}","06/30/24 00:00:00",4
18,"222969461","adventure-works\john5","k@",2,"Marketing Specialist","1988-03-06","S","M","2021-02-07",0,48,44,-1,"{64730415-1F58-4E5B-8FA85E4DAEBA53B4}","06/30/24 00:00:00",4
19,"52541318","adventure-works\mary2","k¿",2,"Marketing Assistant","1988-01-29","S","F","2021-02-14",0,43,41,-1,"{1F6DA901-C7F7-48A8-8EEFD81868D72B52}","06/30/24 00:00:00",4
20,"323403273","adventure-works\wanida0","l ",2,"Marketing Assistant","1985-03-17","M","F","2021-01-07",0,41,40,-1,"{43CCA446-DA1C-454C-8530873AD2923E1B}","06/30/24 00:00:00",4
21,"243322160","adventure-works\terry0","l`",2,"Marketing Specialist","1996-02-04","M","M","2019-03-02",0,44,42,-1,"{AD0D7626-4506-45C4-898F9D7A0E13AABD}","06/30/24 00:00:00",4
22,"95958330","adventure-works\sariya0","l†",2,"Marketing Specialist","1997-05-21","S","M","2018-12-12",0,45,42,-1,"{AF21F1B7-0691-48AD-B325B8F2D7B2268A}","06/30/24 00:00:00",4
23,"767955365","adventure-works\mary0","l‡",2,"Marketing Specialist","1972-09-13","M","F","2019-01-12",0,46,43,-1,"{90899830-127E-4876-85CA7F6E03025281}","06/30/24 00:00:00",4
24,"72636981","adventure-works\jill0","m",2,"Marketing Specialist","1989-06-18","M","F","2019-01-18",0,47,43,-1,"{53575C58-FBA1-4C1A-B8FF95E050B44393}","06/30/24 00:00:00",4
25,"519899904","adventure-works\james1","x",1,"Vice President of Production","1993-01-07","S","M","2019-02-03",-1,64,52,-1,"{D7314F24-2AF1-429C-9BBB4038F45F3E6C}","06/30/24 00:00:00",7
26,"277173473","adventure-works\peter0","z¿",2,"Production Control Manager","1992-11-03","M","M","2018-12-01",-1,43,41,-1,"{69D5D162-E817-45E7-9DEC5D9B8310E7B1}","12/26/24 09:17:09",8
27,"446466105","adventure-works\jo0","z÷",3,"Production Supervisor - WC60","1966-10-08","S","F","2018-02-27",0,80,60,-1,"{83FFAAC6-B895-481F-B89714F965D4DA47}","06/30/24 00:00:00",7
28,"14417807","adventure-works\guy1","z÷∞",4,"Production Technician - WC60","1998-03-13","M","M","2016-06-30",0,21,30,-1,"{AAE1D04A-C237-4974-B4D5935247737718}","06/30/24 00:00:00",7
29,"948320468","adventure-works\mark1","z÷–",4,"Production Technician - WC60","1989-09-25","S","M","2019-01-23",0,19,29,-1,"{CDB2C6DF-93E5-4558-91C8424D5E7C658B}","06/30/24 00:00:00",7
30,"410742000","adventure-works\britta0","z÷",4,"Production Technician - WC60","1999-09-28","M","F","2019-01-29",0,14,27,-1,"{FC12677F-42F8-4790-AD69685088ED7E5F}","06/30/24 00:00:00",7
31,"750246141","adventure-works\margie0","z◊",4,"Production Technician - WC60","1996-05-20","M","F","2019-01-04",0,18,29,-1,"{352D6E2F-655B-49A2-9FECEFD7D8CD0D30}","06/30/24 00:00:00",7
32,"330211482","adventure-works\rebecca0","z◊",4,"Production Technician - WC60","1987-07-10","M","F","2018-12-29",0,23,31,-1,"{BDADEB5C-A596-4DA1-88BA842C7A0CC10F}","06/30/24 00:00:00",7
33,"801758002","adventure-works\annik0","z◊(",4,"Production Technician - WC60","1986-12-26","M","M","2018-12-17",0,17,28,-1,"{51FDE6AC-BD50-467C-90E510CA7310455C}","06/30/24 00:00:00",7
34,"754372876","adventure-works\suchitra0","z◊8",4,"Production Technician - WC60","1997-06-10","M","F","2019-02-16",0,15,27,-1,"{6ADBD932-0DA5-4F5C-AF678E3A53630896}","06/30/24 00:00:00",7
35,"999440576","adventure-works\brandon0","z◊D",4,"Production Technician - WC60","1987-01-10","M","M","2019-02-08",0,22,31,-1,"{CA5D1935-44E2-4C45-93BB809E59F56796}","06/30/24 00:00:00",7
36,"788456780","adventure-works\jose0","z◊L",4,"Production Technician - WC60","1994-07-31","M","M","2019-02-10",0,20,30,-1,"{9E912556-88BA-41EE-B946CB84AB4C1102}","06/30/24 00:00:00",7
37,"442121106","adventure-works\chris2","z◊T",4,"Production Technician - WC60","1996-08-07","S","M","2019-03-07",0,16,28,-1,"{77B384C7-AFFB-4816-992BF5B3034EE4FF}","06/30/24 00:00:00",7
38,"6298838","adventure-works\kim1","z◊\",4,"Production Technician - WC60","1976-12-14","M","F","2020-01-16",0,24,32,-1,"{891C27F4-28CC-44BB-BEA3DA5EA7FBE957}","06/30/24 00:00:00",7
39,"461786517","adventure-works\ed0","z◊d",4,"Production Technician - WC60","1981-09-11","S","M","2020-02-05",0,25,32,-1,"{8EF22FB3-AF37-4B44-8862D60A7CB09D82}","06/30/24 00:00:00",7
40,"309738752","adventure-works\jolynn0","z⁄",3,"Production Supervisor - WC60","1966-01-16","S","F","2017-12-26",0,82,61,-1,"{2CC71B96-F421-485E-98328723337749BB}","06/30/24 00:00:00",7
41,"458159238","adventure-works\bryan0","z⁄∞",4,"Production Technician - WC60","1983-08-27","S","M","2019-01-21",0,35,37,-1,"{4652D4E4-6A27-47ED-9F51C377E293DA28}","06/30/24 00:00:00",7
42,"339712426","adventure-works\james0","z⁄–",4,"Production Technician - WC60","1994-07-25","M","M","2018-12-27",0,39,39,-1,"{82E52D5A-165B-4C6D-9773C3A6B6332ECD}","06/30/24 00:00:00",7
43,"693325305","adventure-works\nancy0","z⁄",4,"Production Technician - WC60","1998-11-19","M","F","2019-01-02",0,34,37,-1,"{6B7EB306-9A00-496A-98A94E94FE72F77C}","06/30/24 00:00:00",7
44,"276751903","adventure-works\simon0","z€",4,"Production Technician - WC60","2000-05-17","S","M","2018-12-08",0,38,39,-1,"{F734D38A-56B5-471E-8DEDA682E958A9B3}","06/30/24 00:00:00",7
45,"500412746","adventure-works\thomas0","z€",4,"Production Technician - WC60","1996-01-10","M","M","2019-02-26",0,37,38,-1,"{8FF3AF67-32F2-4A08-98C3A40F842D41A3}","06/30/24 00:00:00",7
46,"66073987","adventure-works\eugene1","z€(",4,"Production Technician - WC60","1986-02-10","S","M","2019-02-08",0,36,38,-1,"{33543B35-77DA-4600-A41B1EAFEA0AD643}","06/30/24 00:00:00",7
47,"33237992","adventure-works\andrew0","zﬁ",3,"Production Supervisor - WC10","1998-09-06","S","M","2019-02-22",0,65,52,-1,"{08365B05-C143-4260-A93C6B69418B1946}","06/30/24 00:00:00",7
48,"690627818","adventure-works\ruth0","zﬁ∞",4,"Production Technician - WC10","1966-06-04","M","F","2018-01-06",0,83,61,-1,"{3E3B6905-209E-442E-B8A89A0980241C6A}","06/30/24 00:00:00",7
49,"912265825","adventure-works\barry0","zﬁ–",4,"Production Technician - WC10","1966-03-26","S","M","2018-01-07",0,88,64,-1,"{756A60AE-378F-43D8-9F931E821D1EAF52}","06/30/24 00:00:00",7
50,"844973625","adventure-works\sidney0","zﬁ",4,"Production Technician - WC10","1966-08-30","M","M","2018-02-02",0,84,62,-1,"{40D603D9-7F99-48B7-A580B17CF429BED2}","06/30/24 00:00:00",7
51,"132674823","adventure-works\jeffrey0","zﬂ",4,"Production Technician - WC10","1966-07-11","S","M","2018-02-20",0,85,62,-1,"{6E086F41-B81D-4BDC-9F130EEC488DC43E}","06/30/24 00:00:00",7
52,"565090917","adventure-works\doris0","zﬂ",4,"Production Technician - WC10","1966-04-04","M","F","2018-03-10",0,86,63,-1,"{692B8826-03B4-4C3B-82FC1FC6F1409689}","06/30/24 00:00:00",7
53,"9659517","adventure-works\diane0","zﬂ(",4,"Production Technician - WC10","1966-03-29","M","F","2018-03-28",0,87,63,-1,"{C334B2D2-0C56-4906-9095F1D07A98CBEC}","06/30/24 00:00:00",7
54,"109272464","adventure-works\bonnie0","zﬂ8",4,"Production Technician - WC10","1996-09-10","M","F","2020-01-01",0,89,64,-1,"{E950A52A-DF61-4FEC-9063545664D65B89}","06/30/24 00:00:00",7
55,"233069302","adventure-works\taylor0","z·",3,"Production Supervisor - WC50","1966-04-01","M","M","2018-02-08",0,79,59,-1,"{28F7EF89-2793-4989-B67D25046543C1E3}","06/30/24 00:00:00",7
56,"652535724","adventure-works\denise0","z·X",4,"Production Technician - WC50","1998-07-06","M","F","2019-02-05",0,9,24,-1,"{77878C43-F16E-437D-892F3CFCC0715A0A}","06/30/24 00:00:00",7
57,"10708100","adventure-works\frank1","z·h",4,"Production Technician - WC50","1981-07-24","S","M","2019-02-23",0,10,25,-1,"{B395CD84-77BA-4D3C-A49DD9E8D6CF100B}","06/30/24 00:00:00",7
58,"571658797","adventure-works\kendall0","z·x",4,"Production Technician - WC50","1996-05-30","M","M","2018-12-05",0,11,25,-1,"{65207627-5521-4A8E-AD3CB2F1B5226B85}","06/30/24 00:00:00",7
59,"843479922","adventure-works\bob0","z·Ñ",4,"Production Technician - WC50","1989-08-16","S","M","2018-12-24",0,12,26,-1,"{68616AEA-81E5-4940-A7E46FBA882BCCF6}","06/30/24 00:00:00",7
60,"827686041","adventure-works\pete0","z·å",4,"Production Technician - WC50","1987-02-03","S","M","2019-01-11",0,13,26,-1,"{1F1D813D-3EDC-4274-8E9B4519D71685B6}","06/30/24 00:00:00",7
61,"92096924","adventure-works\diane2","z·î",4,"Production Technician - WC50","1999-08-09","S","F","2019-01-18",0,8,24,-1,"{721A2921-C415-46DE-911113F25F428B8B}","06/30/24 00:00:00",7
62,"494170342","adventure-works\john0","z„",3,"Production Supervisor - WC60","1966-08-07","M","M","2018-03-17",0,81,60,-1,"{D4ED1F78-7C28-479B-BFEFA73228BA2AAA}","06/30/24 00:00:00",7
63,"414476027","adventure-works\maciej0","z„X",4,"Production Technician - WC60","1965-01-30","S","M","2020-01-29",0,30,35,-1,"{3229D93F-6A14-4BAC-ABC5A91B9ECFB4D3}","06/30/24 00:00:00",7
64,"582347317","adventure-works\michael7","z„h",4,"Production Technician - WC60","1983-09-05","S","M","2020-02-23",0,26,33,-1,"{492B24BD-BDE9-4371-B96ECCD72264B91F}","06/30/24 00:00:00",7
65,"8066363","adventure-works\randy0","z„x",4,"Production Technician - WC60","1980-04-28","M","M","2020-02-23",0,29,34,-1,"{9A08108D-E039-4862-8F9355F18017AD72}","06/30/24 00:00:00",7
66,"834186596","adventure-works\karan0","z„Ñ",4,"Production Technician - WC60","1980-03-07","S","M","2019-12-22",0,28,34,-1,"{08B1BA74-DD80-4FDA-832793268B84977B}","06/30/24 00:00:00",7
67,"63179277","adventure-works\jay0","z„å",4,"Production Technician - WC60","1986-02-11","S","M","2019-03-05",0,32,36,-1,"{18187809-5294-474F-85A1D5BE6BD518D6}","06/30/24 00:00:00",7
68,"537092325","adventure-works\charles0","z„î",4,"Production Technician - WC60","1981-09-02","S","M","2019-12-03",0,27,33,-1,"{CDC11292-DF74-4FB0-86765B2AA4687142}","06/30/24 00:00:00",7
69,"752513276","adventure-works\steve0","z„ú",4,"Production Technician - WC60","2001-04-06","S","M","2019-02-15",0,31,35,-1,"{12F678D7-EAD3-4CF4-8518A19AACF2A6D4}","06/30/24 00:00:00",7
70,"36151748","adventure-works\david2","z„¢",4,"Production Technician - WC60","1994-12-29","M","M","2018-12-15",0,33,36,-1,"{FC617BB8-D2A3-4374-873C8EF38D80127D}","06/30/24 00:00:00",7
71,"578935259","adventure-works\michael3","zÂ",3,"Production Supervisor - WC30","1999-01-29","S","M","2019-02-15",0,70,55,-1,"{1AD772D7-7B4A-4A7B-867649DD7608CB94}","06/30/24 00:00:00",7
72,"443968955","adventure-works\steven0","zÂX",4,"Production Technician - WC30","1987-05-14","M","M","2018-12-01",0,41,40,-1,"{0A8937C9-68AA-4D48-BA4EB40493D764AA}","06/30/24 00:00:00",7
73,"138280935","adventure-works\carole0","zÂh",4,"Production Technician - WC30","1993-10-19","M","F","2018-12-19",0,42,41,-1,"{C76A41F1-A390-4AE4-A82A2A87764C6391}","06/30/24 00:00:00",7
74,"420023788","adventure-works\bjorn0","zÂx",4,"Production Technician - WC30","1999-11-06","S","M","2019-01-07",0,43,41,-1,"{A942E1E0-2D5E-4858-97C0947020E96860}","06/30/24 00:00:00",7
75,"363996959","adventure-works\michiko0","zÂÑ",4,"Production Technician - WC30","1992-06-27","S","M","2019-01-26",0,44,42,-1,"{F359F5B6-5E18-4C62-853114D951911CE5}","06/30/24 00:00:00",7
76,"227319668","adventure-works\carol0","zÂå",4,"Production Technician - WC30","1998-10-17","M","F","2019-02-12",0,45,42,-1,"{8D0182A3-5B59-4EEA-9B3CC7F05DA9A2CE}","06/30/24 00:00:00",7
77,"301435199","adventure-works\merav0","zÂî",4,"Production Technician - WC30","1993-05-13","M","F","2019-03-03",0,46,43,-1,"{2EE7914A-62D3-473B-A0E1E4E55341EC4E}","06/30/24 00:00:00",7
78,"370989364","adventure-works\reuben0","zÁ",3,"Production Supervisor - WC40","1997-08-27","M","M","2018-12-15",0,72,56,-1,"{71EEE2A6-B9B3-4BF4-894901239DF7C901}","06/30/24 00:00:00",7
79,"697712387","adventure-works\eric1","zÁX",4,"Production Technician - WC40","1976-12-08","M","M","2020-01-24",0,60,50,-1,"{55F62E38-9457-46C8-A824E46A3117A935}","06/30/24 00:00:00",7
80,"943170460","adventure-works\sandeep0","zÁh",4,"Production Technician - WC40","1980-12-03","S","M","2020-01-17",0,65,52,-1,"{606C21E2-3EC0-48A6-A9FE6BC8123AC786}","06/30/24 00:00:00",7
81,"413787783","adventure-works\mihail0","zÁx",4,"Production Technician - WC40","1981-03-09","S","M","2019-12-29",0,64,52,-1,"{03A9BA14-0D5B-4671-B8512C1721EFBF01}","06/30/24 00:00:00",7
82,"58791499","adventure-works\jack1","zÁÑ",4,"Production Technician - WC40","1983-08-29","S","M","2020-03-03",0,62,51,-1,"{D308D387-F7F3-4B5F-ABDAFAF5574245CD}","06/30/24 00:00:00",7
83,"988315686","adventure-works\patrick1","zÁå",4,"Production Technician - WC40","1983-12-23","M","M","2020-02-12",0,61,50,-1,"{296C52AE-169F-4292-975DC508476DCECF}","06/30/24 00:00:00",7
84,"947029962","adventure-works\frank3","zÁî",4,"Production Technician - WC40","1962-03-02","M","M","2020-02-05",0,66,53,-1,"{9AF24ACC-EA3E-4EFE-B5E34762C496D57C}","06/30/24 00:00:00",7
85,"1662732","adventure-works\brian2","zÁú",4,"Production Technician - WC40","1980-12-23","S","M","2019-12-11",0,63,51,-1,"{C294F676-CAAF-4924-9730BC81AE408BE1}","06/30/24 00:00:00",7
86,"769680433","adventure-works\ryan0","zÁ¢",4,"Production Technician - WC40","1982-06-13","M","M","2019-01-05",0,59,49,-1,"{10E5BD6F-2B9C-4192-A94D6A2D50EA1ADB}","06/30/24 00:00:00",7
87,"7201901","adventure-works\cristian0","zËÄ",3,"Production Supervisor - WC10","1994-04-11","M","M","2018-12-22",0,67,53,-1,"{5BE16416-8570-417D-9E54047DB468B5E9}","06/30/24 00:00:00",7
88,"294148271","adventure-works\betsy0","zË¨",4,"Production Technician - WC10","1976-12-17","S","F","2019-12-18",0,99,69,-1,"{EBCDBA1C-6C1D-4D36-90F71893755C85E3}","06/30/24 00:00:00",7
89,"90888098","adventure-works\patrick0","zË¥",4,"Production Technician - WC10","1996-09-10","S","M","2020-02-01",0,96,68,-1,"{D5FBE9E6-B8C5-484C-B4B848059E0EF267}","06/30/24 00:00:00",7
90,"82638150","adventure-works\danielle0","zËº",4,"Production Technician - WC10","1996-09-07","S","F","2020-02-20",0,97,68,-1,"{BB886159-1400-4264-B7C9A3769BEB1274}","06/30/24 00:00:00",7
91,"390124815","adventure-works\kimberly0","zË¬",4,"Production Technician - WC10","1996-09-13","S","F","2020-01-12",0,95,67,-1,"{CE256B6C-1EEE-43ED-99697CAC480FF4D7}","06/30/24 00:00:00",7
92,"826454897","adventure-works\tom0","zË∆",4,"Production Technician - WC10","1996-10-01","M","M","2020-03-10",0,98,69,-1,"{B3BF7FC5-2014-48CE-B7BB76124FA8446C}","06/30/24 00:00:00",7
93,"778552911","adventure-works\kok-ho0","zÈÄ",3,"Production Supervisor - WC50","1990-04-28","S","M","2018-12-27",0,78,59,-1,"{57FB2C0F-B105-49F0-967A88F3D743CB3F}","06/30/24 00:00:00",7
94,"718299860","adventure-works\russell0","zÈ¨",4,"Production Technician - WC50","1982-11-25","M","M","2018-12-12",0,6,23,-1,"{6B10192F-D570-47C4-82C93D979B1EFDC1}","06/30/24 00:00:00",7
95,"674171828","adventure-works\jim0","zÈ¥",4,"Production Technician - WC50","1996-09-08","M","M","2018-12-19",0,1,20,-1,"{6175876E-8FCC-4917-BE06FC358515E6DF}","06/30/24 00:00:00",7
96,"912141525","adventure-works\elizabeth0","zÈº",4,"Production Technician - WC50","2000-01-25","M","F","2019-03-02",0,5,22,-1,"{62A9F73F-6443-4F2F-B86418186614BFB6}","06/30/24 00:00:00",7
97,"370581729","adventure-works\mandar0","zÈ¬",4,"Production Technician - WC50","1996-03-21","S","M","2019-02-10",0,0,20,-1,"{1F0E068A-48C5-40BF-8190565150EFDADD}","06/30/24 00:00:00",7
98,"152085091","adventure-works\sameer0","zÈ∆",4,"Production Technician - WC50","1988-06-26","M","M","2019-02-11",0,4,22,-1,"{A703169F-1563-488E-914DD784FD07F29A}","06/30/24 00:00:00",7
99,"431859843","adventure-works\nuan0","zÈ ",4,"Production Technician - WC50","1989-03-29","S","M","2019-01-06",0,2,21,-1,"{A6089357-2F2F-48CC-AB3CD9B75A3C09D7}","06/30/24 00:00:00",7
100,"204035155","adventure-works\lolan0","zÈŒ",4,"Production Technician - WC50","1983-01-24","M","M","2019-01-12",0,7,23,-1,"{9B9B768D-7CC1-4DCE-87CB765AB73A6AFF}","06/30/24 00:00:00",7
101,"153288994","adventure-works\houman0","zÈ—",4,"Production Technician - WC50","1981-08-30","M","M","2019-01-25",0,3,21,-1,"{9CE8B2E8-9944-4BA5-97DE441D8314F161}","06/30/24 00:00:00",7
102,"360868122","adventure-works\zheng0","zÍÄ",3,"Production Supervisor - WC10","1993-10-26","S","M","2018-12-03",0,66,53,-1,"{C75F2740-ACE3-4EBF-91C57AB352E1095F}","06/30/24 00:00:00",7
103,"455563743","adventure-works\ebru0","zÍ¨",4,"Production Technician - WC10","1996-09-22","S","M","2019-12-06",0,93,66,-1,"{6C25A32B-88B5-4F84-A129F7F688DFA588}","06/30/24 00:00:00",7
104,"717889520","adventure-works\mary1","zÍ¥",4,"Production Technician - WC10","1996-09-19","M","F","2019-12-25",0,94,67,-1,"{6DC9F7D0-5664-4E4A-90F57AB85EBB02E6}","06/30/24 00:00:00",7
105,"801365500","adventure-works\kevin2","zÍº",4,"Production Technician - WC10","1996-09-19","S","M","2019-12-25",0,90,65,-1,"{8B21E53D-E705-479A-B32E6E63AC2F4BCD}","06/30/24 00:00:00",7
106,"561196580","adventure-works\john4","zÍ¬",4,"Production Technician - WC10","1996-09-28","S","M","2020-02-27",0,92,66,-1,"{D4CF23D9-21B6-45E4-827C22890DF0373B}","06/30/24 00:00:00",7
107,"393421437","adventure-works\christopher0","zÍ∆",4,"Production Technician - WC10","1996-10-01","M","M","2020-02-08",0,91,65,-1,"{F71C6055-557B-4660-86FF8C0FA14B24E6}","06/30/24 00:00:00",7
108,"630184120","adventure-works\jinghao0","zÎÄ",3,"Production Supervisor - WC50","1999-02-05","S","M","2018-12-08",0,77,58,-1,"{2BCA07D3-F2AC-4406-904FE09156F3EB3E}","06/30/24 00:00:00",7
109,"113695504","adventure-works\alice0","zÎ¨",4,"Production Technician - WC50","1988-01-26","M","F","2018-12-07",0,95,67,-1,"{7E632B21-0D11-4BBA-8A688CAE14C20AE6}","06/30/24 00:00:00",7
110,"857651804","adventure-works\jun0","zÎ¥",4,"Production Technician - WC50","1989-07-06","S","M","2018-12-14",0,90,65,-1,"{9C5F84D1-FB96-4D82-92A1F932903DEAAD}","06/30/24 00:00:00",7
111,"415823523","adventure-works\suroor0","zÎº",4,"Production Technician - WC50","1988-02-25","S","M","2018-12-17",0,93,66,-1,"{14010B0E-C101-4E41-B78821923399E512}","06/30/24 00:00:00",7
112,"981597097","adventure-works\john1","zÎ¬",4,"Production Technician - WC50","1988-05-31","S","M","2019-01-01",0,91,65,-1,"{B6998410-EE0F-4307-9E6EFE348F11012D}","06/30/24 00:00:00",7
113,"54759846","adventure-works\linda0","zÎ∆",4,"Production Technician - WC50","1997-07-17","M","F","2018-12-25",0,96,68,-1,"{FB84759C-B687-43B2-8727125EFE0F5E13}","06/30/24 00:00:00",7
114,"342607223","adventure-works\mindaugas0","zÎ ",4,"Production Technician - WC50","1988-05-07","M","M","2019-01-13",0,97,68,-1,"{1D784088-DACB-4185-9F603D2DB4925BA5}","06/30/24 00:00:00",7
115,"563680513","adventure-works\angela0","zÎŒ",4,"Production Technician - WC50","2001-05-31","S","F","2019-01-20",0,92,66,-1,"{4958E1C3-C872-4222-954E09D2060EA7EF}","06/30/24 00:00:00",7
116,"398737566","adventure-works\michael2","zÎ—",4,"Production Technician - WC50","1984-05-03","S","M","2019-01-31",0,98,69,-1,"{C6EB2566-CF28-4602-9A255B91C8728838}","06/30/24 00:00:00",7
117,"599942664","adventure-works\chad0","zÎ”",4,"Production Technician - WC50","2000-08-04","M","M","2019-02-18",0,99,69,-1,"{83A32D4C-4725-478F-999791739BB957BA}","06/30/24 00:00:00",7
118,"222400012","adventure-works\don0","zÎ’",4,"Production Technician - WC50","1981-06-13","M","M","2019-02-13",0,88,64,-1,"{E720053D-922E-4C91-B81AA1CA4EF8BB0E}","06/30/24 00:00:00",7
119,"334834274","adventure-works\michael4","zÎ◊",4,"Production Technician - WC50","1999-06-15","S","M","2019-02-25",0,94,67,-1,"{EB27C026-9470-4450-8D5E1F38A41793B5}","06/30/24 00:00:00",7
120,"211789056","adventure-works\kitti0","zÎŸ",4,"Production Technician - WC50","1997-06-06","S","F","2019-03-04",0,89,64,-1,"{49A05524-FA34-45B1-95BC489901DC5B50}","06/30/24 00:00:00",7
121,"521265716","adventure-works\pilar0","zÏÄ",3,"Shipping and Receiving Supervisor","1982-09-09","S","M","2019-01-02",-1,93,66,-1,"{01BCCE22-D63A-4C3F-9BA8D3D5A4C3BD52}","06/30/24 00:00:00",15
122,"586486572","adventure-works\susan0","zÏ¨",4,"Stocker","1988-02-17","S","F","2018-12-07",0,97,68,-1,"{923ECFD6-E202-429A-91416CB183531439}","06/30/24 00:00:00",15
123,"337752649","adventure-works\vamsi0","zÏ¥",4,"Shipping and Receiving Clerk","1987-03-18","M","M","2018-12-07",0,95,67,-1,"{A8838AB2-99DE-415C-8675D82EBF1C4752}","06/30/24 00:00:00",15
124,"420776180","adventure-works\kim0","zÏº",4,"Stocker","1994-04-30","S","F","2018-12-26",0,98,69,-1,"{6150F197-7923-40D4-84F2936207D468AB}","06/30/24 00:00:00",15
125,"584205124","adventure-works\matthias0","zÏ¬",4,"Shipping and Receiving Clerk","1983-11-11","M","M","2019-01-20",0,94,67,-1,"{54ED63DC-C62C-4CC7-89C2015DF49C49A5}","06/30/24 00:00:00",15
126,"652779496","adventure-works\jimmy0","zÏ∆",4,"Stocker","1995-05-04","M","M","2019-02-26",0,96,68,-1,"{96442787-9520-4955-A45738AFDDB6FF13}","06/30/24 00:00:00",15
127,"750905084","adventure-works\david4","zÌÄ",3,"Production Supervisor - WC40","1993-07-02","S","M","2019-01-03",0,73,56,-1,"{516538E8-115B-44F4-AA7BE6C1D9F8ADFC}","06/30/24 00:00:00",7
128,"384162788","adventure-works\paul0","zÌ¨",4,"Production Technician - WC40","1990-11-13","S","M","2018-12-04",0,68,54,-1,"{0217049E-1566-42B6-802741B751E2B00B}","06/30/24 00:00:00",7
129,"502058701","adventure-works\gary0","zÌ¥",4,"Production Technician - WC40","1998-05-16","S","M","2018-12-22",0,69,54,-1,"{A03D6052-1F85-4EBE-AAC9B67CFDCD91A6}","06/30/24 00:00:00",7
